Target_Y | Src_Y_Float | Pre_Idx | Pre_Weight | Post_Idx | Post_Weight
     454 |   1020.8750 |    1020 |         32 |     1021 |         224
     455 |   1023.1250 |    1023 |        224 |     1024 |          32
     456 |   1025.3750 |    1025 |        160 |     1026 |          96
     457 |   1027.6250 |    1027 |         96 |     1028 |         160
     458 |   1029.8750 |    1029 |         32 |     1030 |         224
     459 |   1032.1250 |    1032 |        224 |     1033 |          32
     460 |   1034.3750 |    1034 |        160 |     1035 |          96
     461 |   1036.6250 |    1036 |         96 |     1037 |         160
     462 |   1038.8750 |    1038 |         32 |     1039 |         224
     463 |   1041.1250 |    1041 |        224 |     1042 |          32
     464 |   1043.3750 |    1043 |        160 |     1044 |          96
     465 |   1045.6250 |    1045 |         96 |     1046 |         160
     466 |   1047.8750 |    1047 |         32 |     1048 |         224
     467 |   1050.1250 |    1050 |        224 |     1051 |          32
     468 |   1052.3750 |    1052 |        160 |     1053 |          96
     469 |   1054.6250 |    1054 |         96 |     1055 |         160
     470 |   1056.8750 |    1056 |         32 |     1057 |         224
     471 |   1059.1250 |    1059 |        224 |     1060 |          32
     472 |   1061.3750 |    1061 |        160 |     1062 |          96
     473 |   1063.6250 |    1063 |         96 |     1064 |         160
     474 |   1065.8750 |    1065 |         32 |     1066 |         224
     475 |   1068.1250 |    1068 |        224 |     1069 |          32
     476 |   1070.3750 |    1070 |        160 |     1071 |          96
     477 |   1072.6250 |    1072 |         96 |     1073 |         160
     478 |   1074.8750 |    1074 |         32 |     1075 |         224
     479 |   1077.1250 |    1077 |        224 |     1078 |          32
     480 |   1079.3750 |    1079 |        160 |     1080 |          96
